KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
575933,V·pno,104,57,57,2,0,0,1,0,9,4,0,1,0,0,0,7,0,0,22,0,0,0,1,0,0,10,0
575941,Veliny,379,231,231,31,0,0,16,1,12,21,0,2,7,0,1,21,1,2,70,0,0,8,1,0,2,35,0
575968,VeselÌ,285,192,190,16,0,0,10,0,25,15,1,2,6,0,0,19,0,8,64,1,0,0,3,1,0,18,1
575984,VlËÌ Hab¯ina,252,174,174,9,0,0,11,0,11,11,1,1,2,0,1,13,1,4,75,0,0,7,2,0,0,24,1
575992,VoleË,290,208,206,16,0,0,9,0,16,12,1,3,2,0,0,26,0,5,76,0,1,15,2,1,1,20,0
576000,VysokÈ Chvojno,320,210,208,22,1,0,17,1,7,14,3,3,6,0,1,26,1,7,64,1,1,7,0,0,1,25,0
576018,VyöehnÏvice,202,135,133,22,0,0,5,0,11,4,4,0,3,0,1,8,0,8,39,0,2,6,0,0,1,18,1
576026,Zdechovice,478,283,278,5,3,0,24,0,32,48,3,4,8,0,0,32,1,11,65,1,1,11,1,1,0,25,2
576042,é·ravice,110,77,75,0,0,0,5,0,1,2,0,0,7,0,0,5,0,2,42,0,0,0,0,0,0,11,0
576051,éivanice,771,494,492,56,1,1,33,0,29,61,4,5,2,0,3,49,0,11,175,1,0,20,4,3,1,33,0
